Designator,Footprint,Quantity,Value,LCSC Part #
"C1_5, C1_4, C1_3, C1_2, C1, C5_5, C5_4, C5_3, C5_2, C5, C6_5, C6_4, C6_3, C6_2, C6",0402,15,100nF,C1525
"C2_5, C2_4, C2_3, C2_2, C2, C3_5, C3_4, C3_3, C3_2, C3, C4_5, C4_4, C4_3, C4_2, C4",0402,15,10uF,C15525
"D1_5, D1_4, D1_3, D1_2, D1, D2_5, D2_4, D2_3, D2_2, D2, D3_5, D3_4, D3_3, D3_2, D3, D4_5, D4_4, D4_3, D4_2, D4",D_SOD-123,20,LMBR130T1G,C48974
"J2_5, J2_4, J2_3, J2_2, J2",TYPE-C-31-M-12,5,TYPE-C-31-M-12,C165948
"L1_5, L1_4, L1_3, L1_2, L1",L_Taiyo-Yuden_NR-40xx,5,2.2uH,C515383
"R1_5, R1_4, R1_3, R1_2, R1, R2_5, R2_4, R2_3, R2_2, R2",0402,10,49.9,C25120
"R3_5, R3_4, R3_3, R3_2, R3",0603,5,1M,C22935
"R4_5, R4_4, R4_3, R4_2, R4, R5_5, R5_4, R5_3, R5_2, R5",0603,10,110k,C25805
"R7_5, R7_4, R7_3, R7_2, R7, R9_5, R9_4, R9_3, R9_2, R9",0603,10,5K1,C23186
"SW1_5, SW1_4, SW1_3, SW1_2, SW1",SW_Push_1P1T_XKB_TS-1187A,5,SW_DFU,C318884
"SW2_5, SW2_4, SW2_3, SW2_2, SW2",SW_Push_1P1T_XKB_TS-1187A,5,SW_RST,C318884
"U1_5, U1_4, U1_3, U1_2, U1",WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm,5,TPS63031DSK,C15516
"U2_5, U2_4, U2_3, U2_2, U2",ESP32­S3­WROOM­1U_EXP,5,ESP32-S3-WROOM-1U-N16R8,C3013946
"U3_5, U3_4, U3_3, U3_2, U3",SOT-23-6,5,USBLC6-2SC6,C2827654
